repo,sha,message,date,author
AEDIII,2ee4aac2e8fdd92203c97db1225f858664f962dc,"fix(security): upgrade Next.js and React to patch CVE-2025-66478

- Upgrade Next.js from 16.0.3 to 16.0.7
- Upgrade React from 19.2.0 to 19.2.1
- Upgrade React DOM from 19.2.0 to 19.2.1
- Update eslint-config-next to match Next.js version

Critical RCE vulnerability in React Server Components Flight protocol
with CVSS score 10.0. Patches deserialization flaw that allowed
unauthenticated remote code execution.",2025-12-07T22:08:32Z,anderson-ufrj
AEDIII,2a11fea92f078089d6f9168ae8ef9271cd60f2cc,"fix(types): add explicit type assertion for DrawAnnotationData

- TypeScript cannot narrow union type after conditional check
- Use explicit type assertion for annotation.data
- Remove redundant type annotations in forEach callback",2025-12-01T12:48:16Z,anderson-ufrj
AEDIII,a636f151e58f1f1306ab930cf2722c5427627684,"fix(types): replace JSX.Element with ReactNode for React 19 compatibility

- JSX namespace is not available in React 19
- Use ReactNode which is already imported",2025-12-01T12:47:02Z,anderson-ufrj
AEDIII,28fc99cc0347025d761881b4a1a02dc60eaf3a27,"fix(seo): correct COURSE_CATEGORIES lookup using array find

- COURSE_CATEGORIES is an array, not an object
- Use Array.find() to locate category by id
- Fix TypeScript implicit any error in build",2025-12-01T12:44:55Z,anderson-ufrj
AEDIII,8eaaf90f60aca5ced86fa52d4353d064b4a9cfc0,"docs(content-loader): add comprehensive JSDoc documentation

- Add module-level documentation explaining purpose and caching strategy
- Document all exported functions with @param, @returns, and @example
- Add JSDoc for internal helper functions
- Include usage examples for each public function
- Document cache TTL constant and directory path",2025-12-01T11:51:25Z,anderson-ufrj
AEDIII,d70cbbdb26c2d53b35dc37d16bbcee4a0e27625e,"a11y(pdf): add comprehensive keyboard navigation support

- Add arrow keys for page navigation (left/right)
- Add Ctrl+/- and Ctrl+arrows for zoom control
- Add D key to toggle drawing mode
- Add Escape to exit draw mode or close viewer
- Add Home/End keys to jump to first/last page
- Update footer with keyboard shortcuts reference
- Ignore keyboard events when user is typing in inputs",2025-12-01T11:50:39Z,anderson-ufrj
AEDIII,f608c0b9d27f0175e58d5b45115d6629578e6272,"perf(api): add cache headers to search endpoint

- Add Cache-Control header with 1 hour s-maxage for CDN caching
- Enable stale-while-revalidate for 2 hours background refresh
- Wrap error console.log in development check
- Improve response time for repeated searches",2025-12-01T11:50:00Z,anderson-ufrj
AEDIII,fc4deda7f975a592408902001f1b28a335369120,"config(eslint): enhance ESLint configuration with custom rules

- Add no-console rule to warn on console.log (allow warn/error)
- Add react-hooks/exhaustive-deps warning
- Enforce prefer-const for better code quality
- Add no-unused-vars with underscore ignore pattern
- Add no-explicit-any warning for TypeScript
- Extend globalIgnores with additional patterns",2025-12-01T11:49:35Z,anderson-ufrj
AEDIII,cfa01660ee6a561a07570fa0f83895f4fe4a27f3,"feat(seo): add dynamic generateMetadata for content pages

- Implement generateMetadata for dynamic SEO per content page
- Generate description from content with markdown stripped
- Add keywords array including category and title
- Add OpenGraph metadata for social sharing
- Handle missing content gracefully with fallback title",2025-12-01T11:49:08Z,anderson-ufrj
AEDIII,88c4a36577c1403211da0cf5a44ea4c09c819aaa,"security(config): add HTTP security headers to Next.js

- Add X-Content-Type-Options to prevent MIME sniffing
- Add X-Frame-Options to prevent clickjacking
- Add X-XSS-Protection for legacy browser XSS filtering
- Add Referrer-Policy for privacy protection
- Add Permissions-Policy to disable unused browser features
- Enable modern image formats (AVIF, WebP)",2025-12-01T11:48:41Z,anderson-ufrj
AEDIII,dbed09a0aeca35fe977ad10d8cd626bb1b8eb720,"refactor(utils): extract reusable localStorage utility functions

- Create lib/utils/local-storage.ts with safe storage helpers
- Add safeLocalStorageGet with type-safe parsing and defaults
- Add safeLocalStorageSet with error handling
- Add safeLocalStorageRemove and isLocalStorageAvailable
- Refactor favorite-button to use new utilities
- Refactor notes-panel to use new utilities
- Reduce code duplication across components",2025-12-01T11:48:16Z,anderson-ufrj
AEDIII,584616ea2089376108f421b1467e47ee37764cb7,"security(vlibras): replace dangerouslySetInnerHTML with JSX

- Convert static HTML string to proper JSX elements
- Use spread syntax for custom VLibras attributes
- Remove XSS vulnerability from static content rendering
- Maintain compatibility with VLibras plugin initialization",2025-12-01T11:47:25Z,anderson-ufrj
AEDIII,9571269a0b8f0d5a685af848aa769fc6f86491ee,"security(api): add input validation to search endpoint

- Add maximum query length limit (200 chars) to prevent DoS
- Add minimum query length requirement (2 chars)
- Validate category filter against whitelist of valid categories
- Return 400 status for invalid inputs with descriptive errors
- Define validation constants at module level",2025-12-01T11:47:03Z,anderson-ufrj
AEDIII,2a7ed9012ead681e86a5b101dd54bc114713f7cf,"a11y: add ARIA labels and attributes for accessibility

- Add role and aria-label to PDF annotation canvas
- Add tabIndex for keyboard focus when drawing tool is active
- Hide decorative background elements from screen readers
- Hide floating code symbols from assistive technologies
- Improve screen reader experience across components",2025-12-01T11:46:32Z,anderson-ufrj
AEDIII,5ccd490c57e5eaef7be2871a5ed611de038c09dd,"fix(ux): replace null returns with skeleton placeholders

- Add animated skeleton to NotesPanel during mount
- Add skeleton placeholders to FavoriteButton for both variants
- Add skeleton loading state to ReadingModeControlsInline
- Prevent layout shift during client-side hydration
- Improve perceived loading performance with pulse animations",2025-12-01T11:45:42Z,anderson-ufrj
AEDIII,840c4c83b063dfc7576555d0456d9eaad0ffffb0,"perf(compiler): add debounce to localStorage auto-save

- Implement useDebouncedCallback custom hook
- Add 1 second debounce delay for code saving
- Reduce localStorage I/O from every keystroke to batched saves
- Clean up timeout on component unmount
- Remove unused FileCode and Save imports",2025-12-01T11:44:47Z,anderson-ufrj
